distance_m,has_solution,theta_deg,v_nominal_mps,v_low_mps,v_high_mps,delta_v_mps,time_of_flight_s,entry_angle_deg,z_apex_m,failure_reason
1.00000,1,70.5300,5.07300,5.05915,5.58737,0.52822,0.52374,-11.8008,1.82636,
1.01000,1,70.5300,5.07718,5.05915,5.59906,0.53992,0.52922,-13.3969,1.82828,
1.02000,1,70.5300,5.08180,5.05915,5.61078,0.55163,0.53465,-14.9376,1.83041,
1.03000,1,70.5300,5.08684,5.05915,5.62251,0.56336,0.54001,-16.4235,1.83273,
1.04000,1,70.5300,5.09228,5.05915,5.63425,0.57511,0.54533,-17.8556,1.83524,
1.05000,1,70.5300,5.09808,5.05915,5.64601,0.58687,0.55059,-19.2352,1.83792,
1.06000,1,70.5300,5.10424,5.05915,5.65779,0.59864,0.55581,-20.5636,1.84077,
1.07000,1,70.5300,5.11072,5.05915,5.66958,0.61043,0.56097,-21.8421,1.84377,
1.08000,1,70.5300,5.11751,5.05915,5.68138,0.62223,0.56609,-23.0724,1.84692,
1.09000,1,70.5300,5.12459,5.05915,5.69319,0.63404,0.57116,-24.2561,1.85020,
1.10000,1,70.5300,5.13194,5.05915,5.70501,0.64586,0.57619,-25.3948,1.85362,
1.11000,1,70.5300,5.13955,5.05915,5.71684,0.65769,0.58118,-26.4901,1.85716,
1.12000,1,70.5300,5.14740,5.05915,5.72867,0.66953,0.58612,-27.5438,1.86082,
1.13000,1,70.5300,5.15548,5.05915,5.74052,0.68137,0.59102,-28.5575,1.86460,
1.14000,1,70.5300,5.16378,5.05915,5.75237,0.69322,0.59588,-29.5328,1.86848,
1.15000,1,70.5300,5.17228,5.05915,5.76422,0.70507,0.60070,-30.4713,1.87246,
1.16000,1,70.5300,5.18097,5.05915,5.77608,0.71693,0.60548,-31.3747,1.87654,
1.17000,1,70.5300,5.18985,5.05915,5.78794,0.72880,0.61023,-32.2444,1.88071,
1.18000,1,70.5300,5.19890,5.05915,5.79981,0.74066,0.61494,-33.0819,1.88497,
1.19000,1,70.5300,5.20811,5.05915,5.81168,0.75253,0.61961,-33.8886,1.88932,
1.20000,1,70.5300,5.21748,5.05915,5.82355,0.76440,0.62425,-34.6659,1.89374,
1.21000,1,70.5300,5.22699,5.05915,5.83542,0.77627,0.62885,-35.4150,1.89825,
1.22000,1,70.5300,5.23665,5.05915,5.84729,0.78814,0.63342,-36.1373,1.90282,
1.23000,1,70.5300,5.24643,5.05915,5.85916,0.80001,0.63796,-36.8340,1.90747,
1.24000,1,70.5300,5.25633,5.05915,5.87103,0.81188,0.64246,-37.5061,1.91219,
1.25000,1,70.5300,5.26636,5.05915,5.88290,0.82375,0.64694,-38.1548,1.91697,
1.26000,1,70.5300,5.27649,5.05915,5.89476,0.83562,0.65138,-38.7812,1.92181,
1.27000,1,70.5300,5.28674,5.05923,5.90663,0.84739,0.65579,-39.3861,1.92671,
1.28000,1,70.5300,5.29708,5.05994,5.91849,0.85855,0.66018,-39.9707,1.93167,
1.29000,1,70.5300,5.30751,5.06133,5.93035,0.86902,0.66453,-40.5357,1.93669,
1.30000,1,70.5300,5.31804,5.06335,5.94220,0.87885,0.66886,-41.0820,1.94176,
1.31000,1,70.5300,5.32864,5.06595,5.95405,0.88810,0.67316,-41.6105,1.94688,
1.32000,1,70.5300,5.33933,5.06910,5.96590,0.89679,0.67743,-42.1220,1.95204,
1.33000,1,70.5300,5.35010,5.07277,5.97774,0.90497,0.68167,-42.6170,1.95726,
1.34000,1,70.5300,5.36094,5.07691,5.98957,0.91266,0.68589,-43.0965,1.96252,
1.35000,1,70.5300,5.37184,5.08151,6.00140,0.91989,0.69008,-43.5610,1.96783,
1.36000,1,70.5300,5.38281,5.08653,6.01322,0.92669,0.69425,-44.0111,1.97317,
1.37000,1,70.5300,5.39385,5.09194,6.02504,0.93310,0.69839,-44.4475,1.97856,
1.38000,1,70.5300,5.40494,5.09773,6.03685,0.93912,0.70251,-44.8707,1.98399,
1.39000,1,70.5300,5.41608,5.10386,6.04865,0.94479,0.70661,-45.2813,1.98945,
1.40000,1,70.5300,5.42728,5.11032,6.06045,0.95013,0.71068,-45.6798,1.99496,
1.41000,1,70.5300,5.43852,5.11709,6.07223,0.95514,0.71472,-46.0666,2.00049,
1.42000,1,70.5300,5.44981,5.12415,6.08401,0.95986,0.71875,-46.4423,2.00607,
1.43000,1,70.5300,5.46115,5.13149,6.09579,0.96430,0.72275,-46.8073,2.01167,
1.44000,1,70.5300,5.47252,5.13908,6.10755,0.96847,0.72673,-47.1620,2.01731,
1.45000,1,70.5300,5.48394,5.14692,6.11930,0.97238,0.73069,-47.5069,2.02298,
1.46000,1,70.5300,5.49539,5.15499,6.13105,0.97606,0.73462,-47.8422,2.02867,
1.47000,1,70.5300,5.50687,5.16327,6.14278,0.97951,0.73854,-48.1684,2.03440,
1.48000,1,70.5300,5.51839,5.17176,6.15451,0.98275,0.74244,-48.4858,2.04016,
1.49000,1,70.5300,5.52994,5.18045,6.16623,0.98578,0.74631,-48.7948,2.04594,
1.50000,1,70.5300,5.54151,5.18931,6.17794,0.98862,0.75017,-49.0956,2.05175,
1.51000,1,70.5300,5.55312,5.19835,6.18963,0.99128,0.75400,-49.3886,2.05758,
1.52000,1,70.5300,5.56475,5.20756,6.20132,0.99377,0.75782,-49.6741,2.06344,
1.53000,1,70.5300,5.57640,5.21691,6.21300,0.99609,0.76161,-49.9522,2.06932,
1.54000,1,70.5300,5.58807,5.22642,6.22467,0.99825,0.76539,-50.2234,2.07523,
1.55000,1,70.5300,5.59977,5.23606,6.23632,1.00026,0.76915,-50.4878,2.08116,
1.56000,1,70.5300,5.61148,5.24584,6.24797,1.00213,0.77289,-50.7456,2.08711,
1.57000,1,70.5300,5.62321,5.25574,6.25960,1.00386,0.77661,-50.9972,2.09309,
1.58000,1,70.5300,5.63496,5.26575,6.27123,1.00547,0.78032,-51.2427,2.09908,
1.59000,1,70.5300,5.64672,5.27588,6.28284,1.00695,0.78401,-51.4823,2.10509,
1.60000,1,70.5300,5.65850,5.28612,6.29444,1.00832,0.78768,-51.7163,2.11113,
1.61000,1,70.5300,5.67029,5.29645,6.30603,1.00958,0.79133,-51.9448,2.11718,
1.62000,1,70.5300,5.68209,5.30688,6.31761,1.01072,0.79497,-52.1680,2.12325,
1.63000,1,70.5300,5.69390,5.31740,6.32917,1.01177,0.79859,-52.3860,2.12934,
1.64000,1,70.5300,5.70572,5.32801,6.34073,1.01272,0.80219,-52.5992,2.13545,
1.65000,1,70.5300,5.71755,5.33869,6.35227,1.01358,0.80578,-52.8075,2.14157,
1.66000,1,70.5300,5.72938,5.34945,6.36380,1.01435,0.80935,-53.0112,2.14771,
1.67000,1,70.5300,5.74123,5.36029,6.37532,1.01503,0.81291,-53.2104,2.15387,
1.68000,1,70.5300,5.75308,5.37119,6.38682,1.01564,0.81645,-53.4052,2.16004,
1.69000,1,70.5300,5.76493,5.38215,6.39832,1.01616,0.81997,-53.5959,2.16623,
1.70000,1,70.5300,5.77679,5.39318,6.40980,1.01662,0.82348,-53.7825,2.17244,
1.71000,1,70.5300,5.78866,5.40427,6.42127,1.01700,0.82698,-53.9651,2.17865,
1.72000,1,70.5300,5.80052,5.41541,6.43272,1.01731,0.83046,-54.1439,2.18489,
1.73000,1,70.5300,5.81239,5.42660,6.44417,1.01756,0.83392,-54.3190,2.19113,
1.74000,1,70.5300,5.82426,5.43784,6.45560,1.01775,0.83738,-54.4904,2.19739,
1.75000,1,70.5300,5.83613,5.44913,6.46702,1.01788,0.84081,-54.6584,2.20367,
1.76000,1,70.5300,5.84800,5.46046,6.47842,1.01796,0.84424,-54.8230,2.20995,
1.77000,1,70.5300,5.85987,5.47184,6.48982,1.01798,0.84765,-54.9843,2.21625,
1.78000,1,70.5300,5.87174,5.48325,6.50120,1.01795,0.85104,-55.1424,2.22256,
1.79000,1,70.5300,5.88361,5.49470,6.51256,1.01787,0.85443,-55.2973,2.22888,
1.80000,1,70.5300,5.89548,5.50618,6.52392,1.01774,0.85779,-55.4493,2.23522,
1.81000,1,70.5300,5.90734,5.51770,6.53526,1.01756,0.86115,-55.5983,2.24157,
1.82000,1,70.5300,5.91920,5.52924,6.54659,1.01734,0.86449,-55.7445,2.24792,
1.83000,1,70.5300,5.93106,5.54082,6.55790,1.01708,0.86782,-55.8879,2.25429,
